"question_en","answer_en","question_mm","answer_mm"
"What is TCP/IP?","TCP/IP is the fundamental communication protocol of the internet.","TCP/IP ဆိုတာဘာလဲ။","TCP/IP ဆိုတာ အင်တာနက်ရဲ့ အခြေခံဆက်သွယ်ရေးစည်းမျဉ်းစနစ်ဖြစ်ပါတယ်။"
"What is multi-threading?","Multi-threading allows CPUs to execute multiple threads simultaneously.","multi-threading ဆိုတာဘာလဲ။","multi-threading ဆိုတာ CPU တစ်ခုက thread တွေအများကြီးကို တစ်ပြိုင်နက်တည်း လုပ်ဆောင်နိုင်အောင် လုပ်ပေးတာဖြစ်ပါတယ်။"
"What is thermal throttling?","Thermal throttling reduces CPU speed to prevent overheating.","thermal throttling ဆိုတာဘာလဲ။","thermal throttling ဆိုတာ CPU အပူလွန်ကဲမှုကိုကာကွယ်ဖို့ အလုပ်လုပ်နှုန်းကိုလျှော့ချတာဖြစ်ပါတယ်။"
"What is a compiler?","A compiler translates source code into machine code.","compiler ဆိုတာဘာလဲ။","compiler ဆိုတာ programmer ရေးထားတဲ့ source code တွေကို ကွန်ပျူတာနားလည်တဲ့ machine language အဖြစ်ပြောင်းပေးတဲ့အရာဖြစ်ပါတယ်။"
"What is open source?","Open source means software code is publicly accessible and modifiable.","open source ဆိုတာဘာလဲ။","open source ဆိုတာ ဆော့ဖ်ဝဲကုဒ်တွေကို လူတိုင်းကြည့်ရှုပြင်ဆင်နိုင်တယ်ဆိုတဲ့ အဓိပ္ပါယ်ဖြစ်ပါတယ်။"
"What is virtualization?","Virtualization creates virtual versions of hardware/OS/resources.","virtualization ဆိုတာဘာလဲ။","virtualization ဆိုတာ hardware၊ OS နဲ့ resources တွေရဲ့ virtual အမြန်းတွေကိုဖန်တီးတာဖြစ်ပါတယ်။"
"What is a blockchain?","Blockchain is a decentralized digital ledger technology.","blockchain ဆိုတာဘာလဲ။","blockchain ဆိုတာ ဗဟိုချုပ်ကိုင်မှုမရှိတဲ့ ဒီဂျစ်တယ်မှတ်တမ်းနည်းပညာတစ်ခုဖြစ်ပါတယ်။"
"What is big data?","Big data refers to extremely large datasets requiring special processing.","big data ဆိုတာဘာလဲ။","big data ဆိုတာ အထူးပြုလုပ်ထားတဲ့ စီမံခန့်ခွဲမှုလိုအပ်တဲ့ အလွန်ကြီးမားတဲ့ အချက်အလက်အစုအဝေးဖြစ်ပါတယ်။"
"What is IoT?","IoT (Internet of Things) connects physical devices to the internet.","IoT ဆိုတာဘာလဲ။","IoT ဆိုတာ ရုပ်ဝတ္ထုပစ္စည်းတွေကို အင်တာနက်နဲ့ချိတ်ဆက်ပေးတဲ့စနစ်ဖြစ်ပါတယ်။"
"What is a neural network?","Neural networks are computing systems inspired by biological brains.","neural network ဆိုတာဘာလဲ။","neural network ဆိုတာ လူ့ဦးနှောက်လုပ်ဆောင်ပုံကို အတုယူထားတဲ့ ကွန်ပျူတာစနစ်တစ်ခုဖြစ်ပါတယ်။"
"What is an algorithm?","An algorithm is a step-by-step procedure for solving problems.","algorithm ဆိုတာဘာလဲ။","algorithm ဆိုတာ ပြဿနာတစ်ခုကိုဖြေရှင်းဖို့ အဆင့်ဆင့်လုပ်ဆောင်ရမယ့် နည်းလမ်းဖြစ်ပါတယ်။"
"What is encryption?","Encryption converts data into secure code to prevent unauthorized access.","encryption ဆိုတာဘာလဲ။","encryption ဆိုတာ အချက်အလက်တွေကို ခွင့်မပြုဘဲဝင်ရောက်ကြည့်ရှုခြင်းမှကာကွယ်ဖို့ လုံခြုံတဲ့ကုဒ်အဖြစ်ပြောင်းလဲတာဖြစ်ပါတယ်။"
"What is a data center?","A data center houses computing systems and related components.","data center ဆိုတာဘာလဲ။","data center ဆိုတာ ကွန်ပျူတာစနစ်တွေနဲ့ ဆက်စပ်ပစ္စည်းတွေကို သိမ်းဆည်းထားတဲ့နေရာဖြစ်ပါတယ်။"
"What is CLI?","CLI (Command Line Interface) processes text commands to operate computers.","CLI ဆိုတာဘာလဲ။","CLI ဆိုတာ စာသားအမိန့်တွေနဲ့ ကွန်ပျူတာကိုထိန်းချုပ်တဲ့ စနစ်ဖြစ်ပါတယ်။"
"What is GUI?","GUI (Graphical User Interface) allows visual interaction with computers.","GUI ဆိုတာဘာလဲ။","GUI ဆိုတာ ကွန်ပျူတာတွေနဲ့ မြင်သာအောင် အပြန်အလှန်ဆက်သွယ်အသုံးပြုနိုင်တဲ့စနစ်ဖြစ်ပါတယ်။"
"What is a cookie?","Cookies are small files websites store on your device to remember information.","cookie ဆိုတာဘာလဲ။","cookie ဆိုတာ website တွေက သင့်ရဲ့ device မှာ အချက်အလက်တွေမှတ်ထားနိုင်ဖို့သိမ်းဆည်းထားတဲ့ ဖိုင်အသေးလေးတွေဖြစ်ပါတယ်။"
"What is bandwidth?","Bandwidth measures network data transfer capacity per second.","bandwidth ဆိုတာဘာလဲ။","bandwidth ဆိုတာ ကွန်ယက်ကတစ်ဆင့် တစ်စက္ကန့်အတွင်းအချက်အလက်ဘယ်လောက်ပို့နိုင်လဲဆိုတာကို တိုင်းတာတာဖြစ်ပါတယ်။"
"What is latency?","Latency measures time delay in data communication.","latency ဆိုတာဘာလဲ။","latency ဆိုတာ အချက်အလက်ဆက်သွယ်ရေးမှာ ကြာချိန်နှောင့်နှေးမှုကိုတိုင်းတာတာဖြစ်ပါတယ်။"
"What is a proxy server?","A proxy server acts as an intermediary between users and the internet.","proxy server ဆိုတာဘာလဲ။","proxy server ဆိုတာ အင်တာနက်သုံးစွဲသူနဲ့ အင်တာနက်ကြားက အကြားခံဝန်ဆောင်ဖြစ်ပါတယ်။"
"What is SSH?","SSH securely accesses remote computers over unsecured networks.","SSH ဆိုတာဘာလဲ။","SSH ဆိုတာ မလုံခြုံတဲ့ကွန်ယက်တွေကတစ်ဆင့် အဝေးမှာရှိတဲ့ကွန်ပျူတာတွေကို လုံခြုံစွာဝင်ရောက်အသုံးပြုနိုင်တဲ့နည်းလမ်းဖြစ်ပါတယ်။"
"What is a kernel panic?","Kernel panic is when an OS detects an internal fatal error.","kernel panic ဆိုတာဘာလဲ။","kernel panic ဆိုတာ operating system က အတွင်းပိုင်းအရေးကြီးချွတ်ယွင်းမှုတစ်ခုကို သိရှိတဲ့အခါဖြစ်ပေါ်တဲ့ အခြေအနေဖြစ်ပါတယ်။"
"What is RAID?","RAID combines multiple disks for performance/redundancy.","RAID ဆိုတာဘာလဲ။","RAID ဆိုတာ disk အများအပြားကိုပေါင်းစပ်ပြီး စွမ်းဆောင်ရည်မြင့်မားရေးနဲ့ အရံသိုလှောင်မှုတို့အတွက်ဖြစ်ပါတယ်။"
"What is a filesystem?","A filesystem organizes how data is stored/retrieved on storage devices.","filesystem ဆိုတာဘာလဲ။","filesystem ဆိုတာ သိုလှောင်မှုပစ္စည်းတွေပေါ်မှာ အချက်အလက်တွေကို ဘယ်လိုသိမ်းဆည်းမလဲ၊ ဘယ်လိုပြန်ရှာမလဲဆိုတာကို စနစ်တကျဖွဲ့စည်းပေးတာဖြစ်ပါတယ်။"
"What is binary code?","Binary code represents data using 1s and 0s understood by computers.","binary code ဆိုတာဘာလဲ။","binary code ဆိုတာ 1 နဲ့ 0 တွေကိုသုံးပြီး အချက်အလက်တွေကိုဖော်ပြတာဖြစ်ကာ ကွန်ပျူတာတွေနားလည်ပါတယ်။"
"What is debugging?","Debugging is finding and fixing errors in software code.","debugging ဆိုတာဘာလဲ။","debugging ဆိုတာ ဆော့ဖ်ဝဲကုဒ်ထဲမှာရှိတဲ့ အမှားတွေကိုရှာဖွေပြင်ဆင်တဲ့လုပ်ငန်းစဉ်ဖြစ်ပါတယ်။"
"What is an IP address?","An IP address uniquely identifies devices on a network.","IP address ဆိုတာဘာလဲ။","IP address ဆိုတာ ကွန်ယက်ပေါ်က device တစ်ခုစီရဲ့ သီးသန့်အမှတ်အသားဖြစ်ပါတယ်။"
"What is a domain name?","A domain name is the human-readable address of a website.","domain name ဆိုတာဘာလဲ။","domain name ဆိုတာ website တစ်ခုရဲ့ လူတွေဖတ်ရှုနားလည်နိုင်တဲ့လိပ်စာဖြစ်ပါတယ်။"
"What is a macro?","A macro records sequences of commands for automated execution.","macro ဆိုတာဘာလဲ။","macro ဆိုတာ အလိုအလျောက်လုပ်ဆောင်နိုင်ဖို့ အမိန့်တွေကိုအစဉ်လိုက်မှတ်သားထားတဲ့နည်းလမ်းဖြစ်ပါတယ်။"
"What is recursion?","Recursion is when a function calls itself in programming.","recursion ဆိုတာဘာလဲ။","recursion ဆိုတာ programming မှာ function တစ်ခုကိုယ်တိုင်ကိုယ်ကိုပြန်ခေါ်တဲ့နည်းလမ်းဖြစ်ပါတယ်။"
"What is object-oriented programming?","OOP organizes software design around objects rather than functions.","object-oriented programming ဆိုတာဘာလဲ။","object-oriented programming ဆိုတာ function တွေထက် object တွေကိုဗဟိုပြုပြီး ဆော့ဖ်ဝဲဒီဇိုင်းလုပ်တဲ့နည်းဖြစ်ပါတယ်။"
"What is an IDE?","An IDE provides comprehensive tools for software development.","IDE ဆိုတာဘာလဲ။","IDE ဆိုတာ ဆော့ဖ်ဝဲဖွံ့ဖြိုးရေးအတွက် အပြည့်စုံဆုံးကိရိယာတွေပါဝင်တဲ့ platform တစ်ခုဖြစ်ပါတယ်။"
"What is version control?","Version control manages changes to source code over time.","version control ဆိုတာဘာလဲ။","version control ဆိုတာ source code တွေမှာဖြစ်ပေါ်လာတဲ့ပြောင်းလဲမှုတွေကို စီမံခန့်ခွဲတဲ့စနစ်ဖြစ်ပါတယ်။"
"What is a syntax error?","A syntax error occurs when code violates programming language rules.","syntax error ဆိုတာဘာလဲ။","syntax error ဆိုတာ programming language ရဲ့စည်းမျဉ်းတွေကိုချိုးဖောက်မိတဲ့အခါဖြစ်ပေါ်တဲ့အမှားတစ်မျိုးဖြစ်ပါတယ်။"
"What is a loop in programming?","A loop repeats code execution until a condition is met.","programming မှာ loop ဆိုတာဘာလဲ။","programming မှာ loop ဆိုတာ သတ်မှတ်ချက်တစ်ခုပြည့်မီသည်အထိ code တွေကိုထပ်ခါထပ်ခါလုပ်ဆောင်စေတဲ့နည်းလမ်းဖြစ်ပါတယ်။"
"What is a database?","A database is an organized collection of structured data.","database ဆိုတာဘာလဲ။","database ဆိုတာ အချက်အလက်တွေကို စနစ်တကျဖွဲ့စည်းသိမ်းဆည်းထားတဲ့ အစုအဝေးကြီးဖြစ်ပါတယ်။"
"What is SQL?","SQL is the standard language for relational database management.","SQL ဆိုတာဘာလဲ။","SQL ဆိုတာ relational database တွေကိုစီမံခန့်ခွဲဖို့သုံးတဲ့ စံပြုထားတဲ့ဘာသာစကားဖြစ်ပါတယ်။"
"What is NoSQL?","NoSQL databases provide flexible schemas for unstructured data.","NoSQL ဆိုတာဘာလဲ။","NoSQL ဆိုတာ အချက်အလက်တွေကို ပုံသေမဟုတ်တဲ့နည်းလမ်းနဲ့ စီမံခန့်ခွဲနိုင်တဲ့ database အမျိုးအစားဖြစ်ပါတယ်။"
"What is a cache hit?","A cache hit occurs when requested data is found in cache memory.","cache hit ဆိုတာဘာလဲ။","cache hit ဆိုတာ တောင်းဆိုထားတဲ့အချက်အလက်ကို cache memory ထဲမှာတွေ့ရှိရတဲ့အခြေအနေဖြစ်ပါတယ်။"
"What is parallel processing?","Parallel processing executes multiple computations simultaneously.","parallel processing ဆိုတာဘာလဲ။","parallel processing ဆိုတာ တွက်ချက်မှုအများအပြားကို တစ်ပြိုင်နက်တည်းလုပ်ဆောင်တဲ့နည်းလမ်းဖြစ်ပါတယ်။"
"What is a semiconductor?","Semiconductors have conductivity between conductors and insulators.","semiconductor ဆိုတာဘာလဲ။","semiconductor ဆိုတာ လျှပ်ကူးပစ္စည်းနဲ့ လျှပ်ကာပစ္စည်းတွေကြားက လျှပ်စစ်လျှပ်ကူးမှုရှိတဲ့ပစ္စည်းဖြစ်ပါတယ်။"
"What is Moore's Law?","Moore's Law observes that transistors double every two years.","Moore's Law ဆိုတာဘာလဲ။","Moore's Law ဆိုတာ transistor အရေအတွက် နှစ်နှစ်တစ်ကြိမ် နှစ်ဆတိုးလာတယ်ဆိုတဲ့ လေ့လာတွေ့ရှိချက်ဖြစ်ပါတယ်။"
